Name,email,phone_no,address,gender,age,no-of-orders,spent_in_week,job,website,annual_income,KMean_clusters
Matthew Williams,matthewwilliams637@slingacademy.com,9291890019,"034 Lynch Squares
North Benjaminside, MH 42764",male,29,13,670,Mechanic,goPuff,70722,0
Brenda Lewis,brendalewis614@slingacademy.com,7644375158,"PSC 5391, Box 3026
APO AP 80877",female,25,13,676,Mechanic,UberEats,58092,3
Adrian West,adrianwest790@slingacademy.com,8555320315,"PSC 6310, Box 3599
APO AP 56395",male,27,13,709,Mechanic,Grubhub,77308,0
Amy Scott,amyscott772@slingacademy.com,7945050170,"19927 Romero Garden Apt. 732
Palmerbury, WY 72270",female,45,14,720,Mechanic,UberEats,84314,0
April Beck,aprilbeck704@slingacademy.com,6249304372,"424 Julia Valley Apt. 358
Port Yolandaport, AS 33830",female,39,15,750,Mechanic,goPuff,69810,0
Anthony Nicholson,anthonynicholson395@slingacademy.com,6130804752,"1367 Kimberly Walk
Douglasmouth, ND 84875",male,38,3,148,Nurse,Grubhub,64736,0
Shari Garcia,sharigarcia531@slingacademy.com,8378209446,"56002 Edwards Green
Wilsonville, AZ 55516",female,46,4,208,Nurse,ChowNow,52614,3
Xavier Miles,xaviermiles470@slingacademy.com,8648825584,"206 Reese Meadows
Heathertown, FM 14554",male,48,5,248,Nurse,Grubhub,50710,3
Rachael Gilbert,rachaelgilbert868@slingacademy.com,8789513163,"USNS Burton
FPO AP 12772",female,46,7,374,Nurse,UberEats,46141,3
Michele Rogers,michelerogers269@slingacademy.com,7613498411,"3834 Patricia Course Suite 762
Bakerton, FL 73948",female,38,9,466,Nurse,goPuff,62825,0
Derek Dixon,derekdixon106@slingacademy.com,9312969819,"28031 Kimberly Course Suite 046
North Nathanmouth, GA 36858",male,27,9,482,Nurse,UberEats,60102,0
Grace Hartman,gracehartman875@slingacademy.com,6182073185,"80376 Jonathan Drive Suite 650
Port Riley, VA 91550",female,42,10,516,Nurse,UberEats,62775,0
Joseph Miller,josephmiller797@slingacademy.com,6973116683,"Unit 0367 Box 9057
DPO AP 31858",male,32,12,610,Officer,ChowNow,100031,0
David Arnold,davidarnold861@slingacademy.com,6671367602,"69335 Bradley Club Apt. 089
Lake David, FL 57220",male,24,12,639,Officer,goPuff,83461,0
Yesenia White,yeseniawhite290@slingacademy.com,8566569011,"Unit 6264 Box 9177
DPO AP 48030",female,45,13,710,Officer,ChowNow,95496,0
Nancy Miller,nancymiller756@slingacademy.com,6993574482,"535 Ryan Circles Suite 141
Christophermouth, UT 15989",female,48,16,784,Officer,goPuff,82243,0
Christopher Doyle,christopherdoyle900@slingacademy.com,9369307657,"914 Jason Wells Suite 141
East Michael, FM 32476",male,23,17,807,Officer,UberEats,81479,0
Taylor Reed,taylorreed229@slingacademy.com,8030706804,"350 Baker Burg
New Rebeccaland, MS 03888",female,42,17,829,Officer,goPuff,91835,0
Katherine Ferguson,katherineferguson577@slingacademy.com,7652975639,"4728 Robert Mount Apt. 574
Jameston, WA 60598",female,30,17,838,Pilot,UberEats,116781,2
Robert Bryan,robertbryan207@slingacademy.com,8384618958,"1631 Moore Streets
Theresaport, WA 23450",male,43,17,869,Pilot,goPuff,154582,2
Zachary Kane,zacharykane481@slingacademy.com,8458282456,"84894 Kimberly Stravenue Apt. 826
Haroldburgh, IA 33839",male,26,19,951,Pilot,UberEats,151908,2
Rebecca Robinson,rebeccarobinson502@slingacademy.com,8699406950,"8204 Tina Shoal
Boyleside, MT 47408",female,23,19,956,Pilot,goPuff,101239,0
Bethany Anderson,bethanyanderson383@slingacademy.com,9707755972,"PSC 4168, Box 6214
APO AE 77833",female,29,19,962,Pilot,ChowNow,147527,2
Mary Williams,marywilliams911@slingacademy.com,8181117001,"932 Newman Island
Butlerburgh, CO 77012",female,35,19,966,Pilot,UberEats,141296,2
Carlos Wallace,carloswallace910@slingacademy.com,7721345755,"851 Olivia Lake
Ryanburgh, FM 94711",male,29,19,967,Pilot,goPuff,146958,2
Rhonda Matthews,rhondamatthews710@slingacademy.com,7247994640,"4872 Walter Hill
Lake Brianchester, PA 15374",female,25,7,337,Police,Grubhub,53378,3
Donald Barker,donaldbarker945@slingacademy.com,8940616104,"864 Jenkins Rue
North Candice, WI 21435",male,34,7,394,Police,UberEats,62436,0
Courtney Lopez,courtneylopez450@slingacademy.com,8995027136,"898 Thomas Passage Apt. 788
South Stephenside, MT 62895",female,26,9,497,Police,goPuff,58434,3
Chelsea Moyer,chelseamoyer490@slingacademy.com,7679317551,"37727 Perkins Ridge
West Jennifer, MA 39031",female,46,10,528,Police,ChowNow,86987,0
Brittany Golden,brittanygolden929@slingacademy.com,9117509709,"63249 Brian Lock
Smithberg, MT 45202",female,38,12,605,Police,Grubhub,84903,0
Russell Berry,russellberry793@slingacademy.com,8523006239,"704 Stephanie Plain
North Aprilburgh, MH 49865",male,45,12,636,Police,ChowNow,78507,0
Joshua Jackson,joshuajackson204@slingacademy.com,7939313716,"401 Macias Camp Apt. 622
Angelabury, WY 31688",male,45,12,652,Police,UberEats,52898,3
Alicia Thompson,aliciathompson284@slingacademy.com,8365957898,"989 Robert Via
Smithberg, PA 77512",female,30,12,657,Police,ChowNow,78793,0
Clifford Gray,cliffordgray485@slingacademy.com,7551973444,"76030 Sarah Ford Apt. 376
South Jeffrey, PW 67909",male,35,12,659,Police,Grubhub,84846,0
Gloria Miller,gloriamiller317@slingacademy.com,8129744808,"433 Roberts Trafficway
Kristamouth, ME 22141",female,41,14,721,Police,goPuff,53795,3
Nicole Mcintyre,nicolemcintyre424@slingacademy.com,7977794826,"63757 Morgan Turnpike Suite 661
Lisabury, KY 98744",female,28,12,654,Politician,ChowNow,93833,0
Vincent Kline,vincentkline747@slingacademy.com,9051204487,"18458 Shaw Radial
Stevenshire, KS 83373",male,42,13,695,Politician,ChowNow,93017,0
Amber Hunter,amberhunter269@slingacademy.com,6637192232,"51581 Tommy Club Apt. 845
Mackhaven, ID 39422",female,34,13,702,Politician,ChowNow,93573,0
Shelby Gomez,shelbygomez681@slingacademy.com,7854173408,"547 Tristan Fall Apt. 910
Kennethshire, IL 94867",female,23,13,705,Politician,goPuff,81628,0
Thomas Mclaughlin,thomasmclaughlin610@slingacademy.com,8379248737,"2987 Natalie Drive
Marymouth, MD 08029",male,37,14,712,Politician,UberEats,89596,0
Nathan Graham,nathangraham770@slingacademy.com,9012913122,"86846 Timothy Shores Suite 490
South Rachel, SD 53603",male,35,14,715,Politician,UberEats,87338,0
Thomas Guzman,thomasguzman176@slingacademy.com,6943448373,"675 Michael Land
Hillburgh, MP 53322",male,45,14,736,Politician,ChowNow,95051,0
Sarah Gilbert,sarahgilbert246@slingacademy.com,8537337127,"807 David Flat
Port Jack, OR 10748",female,33,16,795,Politician,goPuff,84624,0
Jeremy Andrews,jeremyandrews576@slingacademy.com,9484223405,"277 Donna Heights
Greenefurt, MT 57005",male,26,4,181,Receptionist,ChowNow,52677,3
Megan Morris,meganmorris562@slingacademy.com,8302015026,"315 Thompson Fork
Lisaland, RI 73533",female,43,4,200,Receptionist,Grubhub,53430,3
Zachary Davis,zacharydavis304@slingacademy.com,8873378895,"6344 Howard Valley
Lake Robert, PR 95403",male,26,4,214,Receptionist,Grubhub,42184,3
Michael Phelps,michaelphelps198@slingacademy.com,6257741143,"Unit 6446 Box 1372
DPO AE 74670",male,30,4,235,Receptionist,goPuff,42186,3
Christopher Robinson,christopherrobinson595@slingacademy.com,9193004577,"90276 Robinson Heights Apt. 181
South Tonyafort, KY 22133",male,31,5,292,Receptionist,goPuff,47732,3
Aaron Mckee,aaronmckee125@slingacademy.com,8216819998,"Unit 8424 Box 2407
DPO AE 55128",male,42,5,298,Receptionist,Grubhub,53332,3
Andrea Velasquez,andreavelasquez582@slingacademy.com,7214502329,"766 Wright Burgs
Smithbury, CA 69463",female,33,6,309,Receptionist,UberEats,56355,3
Philip Newton,philipnewton546@slingacademy.com,6404041620,"871 Michael Loaf
New Jacob, NH 07446",male,33,7,327,Receptionist,goPuff,40992,3
Kathleen Palmer,kathleenpalmer993@slingacademy.com,7018991603,"514 Davis Streets Apt. 617
Wendyfurt, IA 77863",female,25,7,408,Receptionist,Grubhub,54179,3
Eric Levine,ericlevine958@slingacademy.com,7529293377,"921 Richard Highway
Cassandraport, FL 75204",male,32,7,412,Receptionist,UberEats,44445,3
Michael Lopez,michaellopez745@slingacademy.com,9774572178,"598 Ashley Run
Brownmouth, NH 20431",male,45,8,429,Receptionist,ChowNow,45879,3
Samantha Smith,samanthasmith654@slingacademy.com,9225066195,"Unit 2253 Box 6006
DPO AA 00588",female,48,8,432,Receptionist,UberEats,61595,0
Diane Tanner,dianetanner123@slingacademy.com,6681980308,"8167 Macdonald Forks
North Rodney, FL 94873",female,27,8,439,Receptionist,Grubhub,45160,3
Melissa Gaines,melissagaines325@slingacademy.com,9632877972,"77168 Darrell Island Suite 048
West Kayla, NC 82111",female,29,9,440,Receptionist,goPuff,60770,0
Alicia Jensen,aliciajensen722@slingacademy.com,6350320164,"3664 Karina Branch Suite 037
New Christopher, NV 57102",female,23,13,678,Scientist,UberEats,94885,0
Donna Bird,donnabird513@slingacademy.com,7587865325,"6235 Navarro Glens
New Meghan, MO 39149",female,46,14,736,Scientist,Grubhub,82616,0
Kyle Ruiz,kyleruiz137@slingacademy.com,6085251355,"8429 Angela Landing
Jennamouth, GU 92289",male,35,15,751,Scientist,UberEats,81679,0
Janet Holmes,janetholmes868@slingacademy.com,6590851920,"3914 Sarah Meadows Apt. 706
Fieldsside, NM 45110",female,24,16,803,Scientist,ChowNow,117835,2
Edward Bray,edwardbray855@slingacademy.com,7612904891,"Unit 1424 Box 9536
DPO AE 40851",male,32,17,803,Scientist,ChowNow,109815,2
Brenda Hines,brendahines266@slingacademy.com,7770840755,"081 Johnson Isle
Moranborough, MO 27456",female,23,17,833,Scientist,Grubhub,117213,2
Mark Roberts,markroberts135@slingacademy.com,9152504283,"296 Hanson Ridge
Jamestown, MN 78236",male,41,17,836,Scientist,goPuff,122726,2
Alejandro Bailey,alejandrobailey724@slingacademy.com,9949425386,"04653 Fischer Valley
East Daltonhaven, MO 31850",male,35,17,849,Scientist,ChowNow,135005,2
Mark Rivers,markrivers649@slingacademy.com,8614363309,"60437 Williams Stream Apt. 817
Emilymouth, GA 94269",male,48,18,892,Scientist,Grubhub,113399,2
Christopher Miles,christophermiles280@slingacademy.com,7785442409,"517 Lauren Avenue
South Cassandraville, NC 59177",male,33,2,129,Security Guard,Grubhub,44502,3
Justin Stewart,justinstewart627@slingacademy.com,7554359460,"22057 Wagner Wall
Port Jamesbury, TN 03553",male,48,2,130,Security Guard,goPuff,45615,3
John Miller,johnmiller962@slingacademy.com,9127294150,"95729 Rachael Trail Suite 486
Peterside, RI 27354",male,32,3,173,Security Guard,Grubhub,38958,3
Thomas Hickman,thomashickman353@slingacademy.com,6262211735,"58996 Anthony Trafficway Suite 095
Port Melissa, MT 84143",male,48,4,236,Security Guard,UberEats,36170,3
Patricia Garcia,patriciagarcia552@slingacademy.com,8593452131,"8515 Alexander Village Suite 769
Robertoton, IA 83199",female,26,4,245,Security Guard,ChowNow,42097,3
Cindy Chambers,cindychambers182@slingacademy.com,7133434211,"50797 Anthony Meadows
Port Austinmouth, MO 01360",female,31,5,255,Security Guard,ChowNow,39182,3
Natasha Collins,natashacollins225@slingacademy.com,8392756667,"4494 Brown Ferry Apt. 918
East Susanborough, VT 17641",female,32,5,266,Security Guard,Grubhub,36397,3
Anthony Smith,anthonysmith680@slingacademy.com,8967714768,"Unit 5505 Box 5131
DPO AA 70741",male,26,1,91,Student,goPuff,26097,3
Jacob Robinson,jacobrobinson266@slingacademy.com,8236229902,"538 Evelyn Locks Apt. 855
West Sandra, VI 18998",male,23,2,115,Student,goPuff,30898,3
Joseph Martinez,josephmartinez526@slingacademy.com,8600387446,"744 Cox Valley Apt. 779
South Davidstad, UT 59331",male,27,2,119,Student,goPuff,29035,3
Joseph Cross,josephcross873@slingacademy.com,9782171590,"56076 Hernandez Mount
West Gilbert, FM 02174",male,24,2,121,Student,Grubhub,27162,3
Margaret Nelson,margaretnelson922@slingacademy.com,9547637198,"80490 Martinez Expressway
Port Stephanie, MS 05552",female,25,2,122,Student,UberEats,26315,3
Jay Williams,jaywilliams210@slingacademy.com,8818908015,"64704 Karl Spur
North Aprilland, TN 68283",male,30,1,25,Tailor,Grubhub,29571,3
Craig Moore,craigmoore519@slingacademy.com,8423230589,"823 Gardner Alley
Fuentestown, PA 98888",male,37,1,26,Tailor,ChowNow,23362,3
Matthew Jackson,matthewjackson214@slingacademy.com,8785743213,"054 Lisa Via
Knightshire, NJ 55533",male,39,1,45,Tailor,UberEats,21017,3
Robert Smith,robertsmith696@slingacademy.com,6803259606,"762 Drake Spur
Jamesview, HI 81001",male,41,1,70,Tailor,Grubhub,25408,3
Kristine Green,kristinegreen138@slingacademy.com,9197049571,"94588 James Inlet
New Michaelburgh, KS 54014",female,40,1,86,Tailor,Grubhub,29226,3
Karen Jacobs,karenjacobs432@slingacademy.com,6917487085,"589 Stacey Prairie Suite 695
East Justin, DC 94097",female,29,2,107,Tailor,ChowNow,29107,3
Jessica Obrien,jessicaobrien660@slingacademy.com,6502170008,"50746 Collins Curve Apt. 987
Stevenview, GU 39995",female,28,2,110,Tailor,goPuff,27992,3
Paul Underwood,paulunderwood405@slingacademy.com,9816302670,"68392 Jacob Corner
Heidiburgh, GA 98749",male,38,8,428,Teacher,ChowNow,66023,0
Brian Scott,brianscott271@slingacademy.com,6176971398,"80127 Eugene Villages
East Derek, KS 37501",male,32,9,466,Teacher,Grubhub,65073,0
Bryan Richardson,bryanrichardson932@slingacademy.com,7979106561,"5109 Matthews Burgs
Charleshaven, ND 11065",male,41,10,525,Teacher,goPuff,65129,0
John Summers,johnsummers481@slingacademy.com,6376491535,"421 Gonzalez Pass Suite 637
Westmouth, AS 55772",male,43,11,541,Teacher,UberEats,65568,0
Tracy Wolf,tracywolf621@slingacademy.com,7570494197,"412 Jennifer Drive Apt. 217
Whitneyside, AL 29280",male,29,11,548,Teacher,ChowNow,65720,0
Michael Castro,michaelcastro994@slingacademy.com,8198835616,"729 Norton Inlet Apt. 032
New Christopherborough, VA 79143",male,42,11,573,Teacher,ChowNow,69300,0
April Lyons,aprillyons379@slingacademy.com,8147829052,"USS Buck
FPO AP 96694",female,28,0,16,Unemployed,goPuff,10711,3
Teresa Mitchell,teresamitchell702@slingacademy.com,6022789911,"Unit 3284 Box 9351
DPO AP 58309",female,48,0,17,Unemployed,Grubhub,10849,3
Mark Stewart,markstewart528@slingacademy.com,6660981952,"594 Cheyenne Heights Apt. 511
Rileyland, IL 73967",male,24,6,312,Unkown,UberEats,51219,3
Kayla Mitchell,kaylamitchell165@slingacademy.com,6266987170,"PSC 4278, Box 6545
APO AP 77916",female,29,10,520,Unkown,Grubhub,62497,0
Alan Rodriguez,alanrodriguez981@slingacademy.com,9418510100,"35685 Patrick Road Apt. 014
North Brenda, PW 02471",male,37,12,655,Unkown,goPuff,80386,0
Katelyn Smith,katelynsmith870@slingacademy.com,6146868487,"USS Dominguez
FPO AP 03579",female,47,14,727,Unkown,goPuff,90718,0
Tina Duarte,tinaduarte715@slingacademy.com,6759422747,"8896 Young Crest
Lake Carlosview, AL 61172",female,31,15,749,Unkown,ChowNow,92777,0
Matthew Hansen,matthewhansen734@slingacademy.com,8165568807,"3323 Michael Shoal Suite 641
West Aaron, KY 60136",male,29,17,808,Unkown,UberEats,103840,2
Olivia Williamson,oliviawilliamson172@slingacademy.com,9277511806,"9343 Campbell Island
North Kathryn, NM 51405",female,28,18,903,Unkown,goPuff,138704,2
Anthony Wade,anthonywade160@slingacademy.com,6606105049,"4697 Joanna Road Apt. 702
Mitchellport, OK 75186",male,30,1,65,Waiter,goPuff,20138,3
Jaclyn Barton,jaclynbarton150@slingacademy.com,9839328859,"082 Cohen Falls
Kimberlyland, AZ 84170",female,38,1,78,Waiter,ChowNow,23612,3
Adam Johnson,adamjohnson141@slingacademy.com,7763409130,"78625 Jensen Point Apt. 961
North Jonathanborough, DC 23777",male,33,1,84,Waiter,ChowNow,28558,3
Matthew Hogan,matthewhogan675@slingacademy.com,9428388298,"5955 Jessica Cove
East Ginaburgh, MN 19795",male,36,2,91,Waiter,ChowNow,25721,3
Wendy Goodman,wendygoodman722@slingacademy.com,9405958074,"88990 Brown Islands
Brownport, VA 61502",female,34,2,111,Waiter,ChowNow,27171,3
Tyler Mills,tylermills603@slingacademy.com,6977060381,"359 Rodriguez Ridge
Taramouth, GA 17443",male,32,1,54,Waitress,ChowNow,25899,3
Janet Rivera,janetrivera296@slingacademy.com,6242133774,"9443 Gilbert Circles
West Williamchester, AL 95200",female,27,1,62,Waitress,UberEats,25302,3
James Robbins,jamesrobbins145@slingacademy.com,7568379012,"4793 Travis Course
Amberview, KS 58774",male,28,1,69,Waitress,goPuff,21812,3
Grace Cooper,gracecooper620@slingacademy.com,7959045545,"Unit 5810 Box 7469
DPO AE 27539",female,36,2,99,Waitress,Grubhub,24555,3
Denise Cook,denisecook866@slingacademy.com,6205089412,"143 Danielle Route
New Seanburgh, FM 77823",female,35,2,106,Waitress,ChowNow,19100,3
Wayne Curtis,waynecurtis279@slingacademy.com,7344750601,"4427 Sarah Brooks
Ericaburgh, GU 46009",male,38,2,118,Waitress,ChowNow,19235,3
